학생코드,반코드,시험코드,1-1-a,1-1-b,1-2-a,1-3-a,2-1-a,2-2-a,2-2-b,2-3-a,2-3-b,3-1-a,3-1-b,3-2-a,3-2-b,3-2-c,3-3-a,3-3-b,3-3-c,score,std_score,percentile
286,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,98
166,1,4,0,0,0,0,6,0,0,0,0,2,0,2,2,3,0,0,0,15,85,71
168,1,4,1,5,0,0,6,3,0,0,0,2,5,2,2,3,0,0,0,29,108,34
283,1,4,0,0,0,0,6,0,0,0,0,2,0,2,2,0,0,0,0,12,80,82
173,1,4,1,5,5,5,6,0,0,0,0,2,5,2,2,3,0,0,0,36,119,16
284,1,4,1,5,5,5,6,3,4,0,0,0,0,0,0,0,0,0,0,29,108,34
176,1,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,70,92
177,1,4,1,5,0,0,6,0,0,0,2,0,2,5,2,2,3,0,0,28,106,40
285,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,98
182,1,4,1,5,2,0,6,0,4,0,0,2,5,2,2,3,3,0,0,35,118,21
186,1,4,0,0,0,0,6,3,0,0,0,0,0,2,2,3,3,3,0,22,96,56
287,1,4,1,5,5,5,6,3,4,2,0,2,5,2,2,3,3,0,0,48,139,1
188,1,4,1,5,5,5,6,0,0,0,0,2,5,2,0,0,3,3,0,37,121,14
189,1,4,0,0,0,0,6,1,0,0,0,1,0,2,2,3,0,0,0,15,85,71
288,1,4,0,0,0,0,6,3,2,1,5,0,0,0,0,3,0,0,0,20,93,59
199,1,4,0,0,0,0,6,0,0,0,0,2,0,2,2,3,0,0,0,15,85,71
290,1,4,0,0,0,0,6,3,4,2,2,2,0,2,2,3,0,0,0,26,103,44
291,1,4,1,4,4,2,6,3,2,1,2,1,1,2,2,3,0,0,0,34,116,23
210,1,4,0,0,0,0,6,3,2,0,0,0,1,0,2,2,0,0,0,16,86,68
211,1,4,0,0,0,0,6,0,0,0,0,2,2,0,0,0,3,0,1,14,83,78
212,1,4,1,5,2,2,6,2,0,0,2,2,5,2,2,3,0,0,0,34,116,23
216,1,4,1,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,12,80,82
296,1,4,1,5,5,5,6,3,4,2,2,1,1,2,2,3,3,0,0,45,134,3
219,1,4,1,5,5,5,6,3,2,2,2,2,5,2,2,3,3,0,0,48,139,1
294,1,4,1,3,5,2,6,2,2,0,0,2,5,2,2,3,3,0,0,38,123,9
225,1,4,1,5,5,3,6,0,0,0,0,1,1,2,2,3,0,0,0,29,108,34
229,1,4,1,4,2,0,6,2,0,0,0,2,5,2,2,3,0,0,0,29,108,34
232,1,4,0,0,0,0,6,0,0,0,0,0,1,1,0,0,2,0,0,10,76,87
234,1,4,1,5,5,2,6,0,0,0,0,2,5,2,2,3,3,0,0,36,119,16
237,1,4,0,0,2,0,6,1,0,1,2,0,2,2,2,2,3,2,0,25,101,48
239,1,4,1,5,5,2,6,3,2,1,0,1,1,2,2,3,3,1,0,38,123,9
292,1,4,0,0,0,0,6,3,3,2,0,2,1,0,0,0,0,0,0,17,88,65
256,1,4,1,5,5,2,6,0,0,0,0,2,5,2,2,3,1,0,0,34,116,23
242,1,4,0,0,0,0,6,2,2,2,2,2,5,2,2,3,3,3,0,34,116,23
243,1,4,1,5,5,5,6,3,0,2,0,2,0,2,2,3,0,0,0,36,119,16
245,1,4,1,5,5,5,6,0,0,0,0,2,5,2,2,3,3,3,0,42,129,5
248,1,4,1,5,5,5,6,0,0,2,0,2,5,2,2,3,0,0,0,38,123,9
295,1,4,0,0,0,0,6,3,4,2,5,2,1,2,2,3,0,0,0,30,109,33
