학생코드,반코드,시험코드,1-1-a,1-1-b,1-2-a,1-2-b,1-2-c,2-1-a,2-2-a,2-2-b,2-2-c,3-1-a,3-1-b,3-1-c,score,std_score,percentile
73,2,8,5,5,0,0,0,0,0,0,0,0,0,0,10,99,43
74,2,8,5,5,0,0,0,10,0,0,0,0,0,0,20,115,25
75,2,8,5,5,0,0,0,10,5,4,0,0,0,0,29,129,12
76,2,8,5,5,1,0,5,10,0,0,0,0,0,0,26,124,13
77,2,8,0,0,0,0,0,10,0,0,0,10,0,0,20,115,25
78,2,8,5,5,0,0,0,10,0,4,0,0,0,0,24,121,19
79,2,8,2,0,0,0,0,10,0,0,0,0,0,0,12,102,42
82,2,8,5,5,0,0,0,10,0,0,0,0,0,0,20,115,25
84,2,8,5,2,0,0,3,10,0,0,0,0,0,0,20,115,25
88,2,8,5,5,0,0,2,10,0,0,0,0,0,0,22,118,23
93,2,8,0,0,0,0,2,10,0,0,0,10,0,0,22,118,23
94,2,8,5,5,5,0,0,10,0,0,0,0,0,0,25,123,14
95,2,8,0,0,0,0,0,10,0,0,0,0,0,0,10,99,43
100,2,8,5,5,0,0,0,10,0,0,0,0,0,0,20,115,25
105,2,8,0,0,0,0,0,10,0,0,0,0,0,0,10,99,43
108,2,8,5,5,0,0,0,10,2,2,0,0,0,0,24,121,19
109,2,8,5,5,0,0,0,10,0,0,0,0,0,0,20,115,25
112,2,8,5,5,0,0,3,10,0,0,0,0,0,0,23,119,21
113,2,8,0,0,0,0,0,10,0,0,0,0,0,0,10,99,43
114,2,8,0,0,0,0,0,10,0,0,0,0,0,0,10,99,43
115,2,8,0,0,0,0,0,10,0,0,0,0,0,0,10,99,43
117,2,8,5,5,0,0,0,10,0,0,0,0,0,0,20,115,25
121,2,8,0,0,0,0,0,10,0,0,0,0,0,0,10,99,43
122,2,8,10,0,0,0,0,0,0,0,0,0,0,0,10,99,43
130,2,8,0,0,0,0,0,10,5,2,3,0,0,0,20,91,54
131,2,8,0,0,0,0,0,10,5,2,3,0,0,0,20,91,54
132,2,8,5,5,5,5,10,10,0,0,0,10,0,0,50,142,2
133,2,8,5,5,5,0,0,10,5,0,0,0,0,0,30,108,27
136,2,8,5,5,0,0,0,10,5,0,0,0,0,0,25,100,40
144,2,8,5,5,0,0,10,10,5,0,0,0,0,0,35,117,10
147,2,8,0,0,0,0,10,10,0,0,0,10,0,0,30,108,27
149,2,8,0,0,0,0,0,10,5,2,0,0,0,0,17,86,75
151,2,8,0,0,0,0,10,10,5,0,0,10,0,0,35,117,10
153,2,8,5,5,0,0,0,10,5,0,0,10,0,0,35,117,10
154,2,8,5,0,0,0,0,10,5,0,0,10,0,0,30,108,27
161,2,8,5,0,0,0,0,10,5,0,0,0,0,0,20,91,54
169,2,8,5,5,5,5,10,10,5,0,0,10,10,15,80,193,1
171,2,8,5,5,0,0,0,10,5,0,0,10,0,0,35,117,10
174,2,8,5,5,0,0,0,0,0,0,0,0,0,0,10,74,85
175,2,8,5,0,0,0,0,10,5,0,0,10,0,0,30,108,27
259,2,8,5,5,0,0,0,10,5,0,0,10,0,0,35,117,10
179,2,8,5,5,0,0,0,10,5,0,0,0,0,0,25,100,40
194,2,8,5,0,0,0,0,10,5,0,0,10,0,0,30,108,27
198,2,8,5,5,0,0,0,10,5,6,6,10,0,0,47,137,4
201,2,8,3,0,0,0,0,10,0,0,0,3,0,0,16,85,78
206,2,8,5,5,0,0,0,10,5,2,0,0,0,0,27,103,38
212,2,8,5,5,0,0,0,10,5,6,0,10,0,0,41,127,6
213,2,8,5,5,0,0,0,10,5,0,0,10,0,0,35,117,10
215,2,8,5,3,2,0,0,10,5,4,3,0,0,0,32,112,24
220,2,8,2,0,0,0,0,0,0,0,0,0,0,0,2,61,98
222,2,8,0,3,0,5,10,0,0,0,0,10,0,0,28,105,37
226,2,8,0,0,0,0,0,10,0,0,0,10,0,0,20,91,54
227,2,8,5,3,0,5,0,10,3,0,0,5,0,0,31,110,26
228,2,8,5,4,3,0,10,0,0,2,0,10,0,0,34,115,21
230,2,8,2,0,0,0,0,10,5,0,0,0,0,0,17,86,75
233,2,8,5,5,0,0,0,10,2,2,3,5,0,0,32,112,24
235,2,8,5,5,2,0,0,10,5,0,0,3,0,0,30,108,27
239,2,8,0,0,0,0,0,10,1,0,0,0,0,0,11,76,84
240,2,8,5,3,0,0,0,10,2,1,0,2,0,0,23,97,50
243,2,8,2,2,2,0,10,0,0,0,0,2,0,0,18,88,74
244,2,8,5,5,2,0,0,10,5,4,11,0,0,0,42,129,5
245,2,8,5,5,5,0,10,10,0,0,0,5,0,0,40,125,7
249,2,8,0,0,2,0,0,10,0,0,0,2,0,0,14,81,82
250,2,8,5,0,0,0,0,10,0,0,0,0,0,0,15,83,79
