학생코드,반코드,시험코드,1-1-a,1-2-a,1-3-a,1-3-b,2-1-a,2-2-a,2-2-b,2-3-a,2-3-b,3-1-a,3-1-b,3-2-a,3-2-b,3-3-a,3-3-b,3-3-c,score,std_score,percentile
104,2,2,0,4,3,2,4,0,4,2,0,0,0,0,0,0,0,0,19,83,77
107,2,2,4,4,3,4,0,2,5,3,0,2,3,2,5,5,3,4,49,130,8
110,2,2,4,4,3,3,4,0,0,0,0,2,0,0,0,0,0,0,20,84,75
114,2,2,4,4,3,4,4,2,4,5,0,0,0,2,0,0,0,0,32,103,40
116,2,2,4,4,3,4,4,2,2,3,0,2,3,2,0,5,3,4,45,123,12
119,2,2,4,4,0,1,4,1,0,0,0,2,0,0,0,0,0,0,16,78,82
120,2,2,0,2,0,0,4,0,0,0,0,1,0,0,0,0,0,0,7,64,98
123,2,2,0,4,3,3,4,2,2,3,0,2,3,0,5,0,0,0,31,101,42
124,2,2,4,4,3,4,4,2,5,5,5,2,3,2,0,5,3,4,55,139,2
125,2,2,4,4,3,4,4,2,4,0,0,2,3,2,0,5,3,4,44,122,14
127,2,2,4,3,0,0,3,2,5,5,0,0,0,0,0,0,0,0,22,87,68
128,2,2,4,4,3,3,4,0,0,0,0,2,0,0,0,5,0,0,25,92,62
129,2,2,4,4,3,4,4,1,0,1,0,2,3,0,0,0,0,0,26,94,58
130,2,2,4,4,0,0,4,1,0,0,0,2,0,2,0,0,0,0,17,79,80
134,2,2,4,4,3,4,4,0,5,0,0,0,3,2,0,0,0,0,29,98,51
135,2,2,4,4,3,4,2,2,5,5,0,2,3,0,5,0,0,0,39,114,24
137,2,2,4,4,3,1,4,2,5,5,0,2,3,0,0,5,3,3,44,122,14
138,2,2,4,4,3,2,4,2,4,5,5,1,0,0,0,0,0,0,34,106,34
139,2,2,4,4,3,3,2,2,0,0,0,0,0,0,0,0,0,0,18,81,80
141,2,2,4,0,3,0,4,1,2,3,0,0,0,0,0,0,0,0,17,79,80
143,2,2,4,4,3,0,4,0,5,0,0,2,0,0,0,0,0,0,22,87,68
145,2,2,4,4,3,3,4,2,5,2,0,0,0,0,0,5,2,0,34,106,34
148,2,2,4,4,3,4,4,0,0,5,5,2,3,0,0,0,0,0,34,106,34
153,2,2,4,4,3,4,4,2,5,0,0,0,0,0,0,0,0,0,26,94,58
155,2,2,4,4,3,0,4,2,5,5,0,2,3,0,0,5,0,0,37,111,29
156,2,2,4,4,3,0,4,2,5,5,0,0,0,0,0,5,0,0,32,103,40
158,2,2,4,4,0,0,0,4,1,0,5,2,3,0,0,0,0,0,23,89,66
159,2,2,4,4,3,4,4,1,0,5,0,2,3,2,0,0,0,0,32,103,40
160,2,2,4,4,3,0,4,2,0,5,0,2,0,0,0,5,0,0,29,98,51
162,2,2,4,4,3,4,0,2,5,0,0,2,3,2,5,5,0,0,39,114,24
163,2,2,4,4,3,4,4,1,0,5,0,0,0,0,0,0,0,0,25,92,62
165,2,2,4,4,0,0,4,1,0,0,0,2,0,0,0,5,0,0,20,84,75
166,2,2,4,4,3,4,4,2,5,5,0,0,0,0,0,0,0,0,31,101,42
168,2,2,4,4,3,0,4,1,0,5,0,2,3,0,0,5,0,0,31,101,42
172,2,2,4,4,3,0,4,2,5,5,5,2,3,2,0,0,0,0,39,114,24
173,2,2,4,4,3,4,4,2,5,5,0,2,3,0,0,5,3,0,44,122,14
176,2,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,5,61,100
177,2,2,4,4,0,0,4,2,0,5,0,2,0,0,0,0,0,0,21,86,72
179,2,2,4,4,3,4,4,2,5,5,0,2,3,0,0,5,0,0,41,117,19
181,2,2,4,4,3,4,4,2,5,0,0,0,0,0,0,0,0,0,26,94,58
182,2,2,4,4,3,4,4,2,5,5,5,2,3,0,0,5,0,0,46,125,10
183,2,2,4,4,3,0,4,2,5,5,0,2,3,2,0,0,0,0,34,106,34
184,2,2,4,4,3,4,4,2,5,5,0,0,0,0,0,0,0,0,31,101,42
186,2,2,4,4,3,4,4,2,5,5,0,2,3,2,0,0,0,0,38,112,26
187,2,2,4,4,3,0,2,0,0,0,0,2,0,0,0,0,0,0,15,76,84
188,2,2,4,4,3,4,4,2,0,5,0,2,3,2,0,5,3,4,45,123,12
189,2,2,4,4,0,0,4,1,0,0,0,0,0,0,0,0,0,0,13,73,90
190,2,2,4,4,3,0,4,2,5,5,0,2,0,2,0,5,0,0,36,109,30
191,2,2,4,4,3,4,4,5,0,0,0,0,0,0,0,0,0,0,24,90,64
127,2,2,4,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,11,70,94
192,2,2,4,4,3,0,4,2,5,5,0,2,3,0,0,5,0,0,37,111,29
196,2,2,4,4,3,4,4,2,0,5,0,2,3,2,5,5,0,0,43,120,16
197,2,2,4,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,15,76,84
199,2,2,4,4,3,4,4,2,5,5,0,2,3,2,5,5,3,4,55,139,2
200,2,2,4,4,3,4,2,2,5,5,0,0,0,0,0,0,0,0,29,98,51
202,2,2,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,72,92
203,2,2,4,4,3,4,4,1,0,5,0,2,3,0,0,5,0,0,35,108,32
207,2,2,4,4,0,0,4,0,0,0,0,2,0,0,0,0,0,0,14,75,88
210,2,2,4,0,0,0,4,2,0,5,0,0,0,0,0,0,0,0,15,76,84
211,2,2,4,4,3,2,4,0,0,0,0,2,0,0,0,0,0,0,19,83,77
213,2,2,4,4,3,2,4,2,5,5,0,0,0,0,0,0,0,0,29,98,51
214,2,2,4,4,3,4,4,2,5,0,0,2,3,2,5,5,3,0,46,125,10
216,2,2,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,67,95
217,2,2,0,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,7,64,98
218,2,2,4,4,3,4,4,1,0,5,0,0,0,0,0,0,0,0,25,92,62
219,2,2,4,4,3,4,4,1,0,5,0,2,3,0,0,0,0,0,30,100,48
223,2,2,4,4,3,0,4,2,5,5,0,2,0,0,0,0,0,0,29,98,51
225,2,2,4,4,3,4,4,2,5,5,5,2,3,2,5,5,0,0,53,136,4
229,2,2,4,4,0,0,2,1,0,5,0,2,3,0,0,0,0,0,21,86,72
231,2,2,4,4,3,4,4,2,5,5,0,2,3,2,5,5,0,0,48,128,9
234,2,2,4,4,3,4,4,2,5,5,0,2,0,0,0,5,0,0,38,112,26
236,2,2,4,4,3,4,4,2,5,5,0,0,2,5,5,0,0,0,43,120,16
237,2,2,4,4,0,0,2,0,2,0,0,0,0,0,0,0,0,0,12,72,92
238,2,2,4,4,3,4,4,2,5,5,0,2,3,0,0,5,0,0,41,117,19
239,2,2,4,4,3,4,4,2,5,5,0,2,3,2,5,0,0,0,43,120,16
256,2,2,4,4,3,0,4,0,0,0,0,2,3,2,0,0,0,0,22,87,68
241,2,2,4,4,3,4,4,2,5,5,0,0,0,0,0,0,0,0,31,101,42
242,2,2,4,4,3,4,4,2,0,5,0,2,3,0,0,0,0,0,31,101,42
243,2,2,4,4,3,4,4,2,0,5,0,2,3,2,5,5,3,4,50,131,5
245,2,2,4,4,3,4,4,2,5,5,5,2,3,2,5,5,3,4,60,147,0
246,2,2,4,4,4,0,4,2,5,5,0,0,0,2,0,5,0,0,35,108,32
248,2,2,4,4,3,0,4,2,0,5,0,2,3,0,0,0,0,0,27,95,57
260,2,2,4,4,0,0,4,2,0,5,0,2,0,0,0,0,0,0,21,86,72
250,2,2,4,4,3,4,4,2,5,5,0,2,0,0,0,0,0,0,33,105,37
257,2,2,4,4,3,4,4,2,0,5,0,0,0,0,0,0,0,0,26,94,58
258,2,2,4,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,10,68,94
252,2,2,4,4,3,4,4,2,5,5,0,2,3,2,5,5,3,4,55,139,2
